"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-19","51","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-20","55","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-21","55","72"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-22","53","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-23","55","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-24","56","72"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-25","52","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-26","52","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-27","52","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-28","53","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-29","55","76"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-09-30","54","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-01","53","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-02","50","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-03","54","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-04","58","74"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-05","56","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-06","56","77"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-07","57","79"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-08","60","83"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-09","57","78"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-10","56","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-11","52","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-12","55","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-13","54","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-14","52","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-15","51","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-16","53","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-17","50","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-18","49","66"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-19","45","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-20","37","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-21","35","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-22","38","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-23","36","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-24","43","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-25","36","45"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-26","32","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-27","30","39"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-28","30","37"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-29","34","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-30","33","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-10-31","32","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-01","34","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-02","37","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-03","37","53"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-04","40","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-05","39","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-06","37","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-07","42","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-08","46","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-09","46","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-10","45","71"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-11","45","70"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-12","45","73"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-13","45","65"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-14","44","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-15","33","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-16","33","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-17","44","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-18","45","64"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-19","49","67"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-20","49","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-21","49","53"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-22","40","45"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-23","38","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-24","39","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-25","39","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-26","37","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-27","33","41"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-28","33","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-29","28","37"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-11-30","35","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-01","36","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-02","31","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-03","34","52"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-04","36","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-05","39","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-06","38","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-07","39","60"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-08","43","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-09","42","48"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-10","35","37"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-11","42","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-12","41","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-13","40","64"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-14","40","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-15","35","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-16","45","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-17","36","45"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-18","33","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-19","34","53"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-20","36","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-21","31","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-22","31","35"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-23","33","52"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-24","31","52"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-25","33","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-26","36","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-27","36","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-28","36","45"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-29","40","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-30","42","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-12-31","43","53"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-01","45","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-02","48","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-03","38","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-04","31","42"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-05","29","33"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-06","20","25"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-07","31","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-08","36","48"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-09","36","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-10","38","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-11","35","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-12","28","34"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-13","24","26"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-14","27","35"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-15","31","36"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-16","27","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-17","31","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-18","33","61"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-19","34","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-20","30","39"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-21","28","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-22","33","39"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-23","35","41"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-24","35","57"
